trial,way_n,spacing,gate_inner,n_sources,cleared,remaining,time_s,walk_m,measures,cover_visits,way_stops,opp_unheard,stop_reason,wall_s
0,0,700.0,1,11,8,3,5396.08,19110.4,259,19,0,1,certificate,9.031
1,0,700.0,1,10,8,2,5970.64,22428.2,244,19,0,1,certificate,16.779
2,0,700.0,1,15,12,3,7217.13,28060.7,261,19,0,0,certificate,45.089
3,0,700.0,1,12,10,2,6103.01,23995.1,211,19,0,1,certificate,12.329
4,0,700.0,1,14,14,0,7923.08,30195.4,308,19,0,3,certificate,43.075
5,0,700.0,1,12,9,3,6503.60,24958.0,249,19,0,2,certificate,20.885
6,0,700.0,1,11,9,2,5640.41,21702.0,211,19,0,1,certificate,2.892
7,0,700.0,1,12,11,1,6404.25,25396.3,215,19,0,1,certificate,8.747
8,0,700.0,1,13,10,3,5932.65,22833.3,224,19,0,2,certificate,19.227
9,0,700.0,1,13,12,1,6330.19,25126.0,211,19,0,2,certificate,22.271
10,0,700.0,1,11,9,2,6345.47,24257.3,245,19,0,1,certificate,23.702
11,0,700.0,1,11,8,3,5610.76,20928.8,233,19,0,2,certificate,6.834
12,0,700.0,1,12,10,2,6824.14,26355.7,256,19,0,1,certificate,39.717
13,0,700.0,1,14,11,3,6012.73,22993.6,231,19,0,1,certificate,7.374
14,0,700.0,1,10,7,3,6244.73,23533.6,253,19,0,1,certificate,14.888
15,0,700.0,1,10,8,2,6001.21,22461.0,248,19,0,0,certificate,18.322
16,0,700.0,1,13,10,3,5871.47,21492.4,255,19,0,2,certificate,23.393
17,0,700.0,1,10,8,2,5485.25,21001.2,209,19,0,2,certificate,7.397
18,0,700.0,1,11,8,3,5805.26,21746.3,238,19,0,0,certificate,7.269
19,0,700.0,1,15,12,3,6837.12,27300.6,224,19,0,3,certificate,31.014
0,0,3000.0,1,11,8,3,5657.40,21512.0,220,19,0,0,certificate,18.854
1,0,3000.0,1,10,8,2,5935.64,22428.2,237,19,0,0,certificate,25.819
2,0,3000.0,1,15,12,3,7154.82,27754.1,261,19,0,0,certificate,54.485
3,0,3000.0,1,12,10,2,6626.94,25974.7,232,19,0,0,certificate,19.746
4,0,3000.0,1,14,13,1,6526.33,24641.6,258,19,0,0,certificate,26.542
5,0,3000.0,1,12,8,4,6301.67,23253.4,272,19,0,0,certificate,35.822
6,0,3000.0,1,11,9,2,5607.41,21702.0,205,19,0,0,certificate,8.213
7,0,3000.0,1,12,11,1,5982.47,23427.3,210,19,0,0,certificate,15.198
8,0,3000.0,1,13,10,3,5888.65,22833.3,216,19,0,0,certificate,20.983
9,0,3000.0,1,13,10,3,5691.47,21797.3,215,19,0,0,certificate,5.399
10,0,3000.0,1,11,9,2,6313.47,24257.3,239,19,0,0,certificate,23.931
11,0,3000.0,1,11,8,3,5575.76,20928.8,227,19,0,0,certificate,5.527
12,0,3000.0,1,12,10,2,6786.14,26355.7,249,19,0,0,certificate,33.892
13,0,3000.0,1,14,11,3,5977.73,22993.6,225,19,0,0,certificate,7.866
14,0,3000.0,1,10,7,3,6208.73,23533.6,247,19,0,0,certificate,14.486
15,0,3000.0,1,10,8,2,6004.89,22449.4,248,19,0,0,certificate,14.039
16,0,3000.0,1,13,10,3,5955.52,21982.6,253,19,0,0,certificate,21.395
17,0,3000.0,1,10,8,2,5537.88,21484.4,201,19,0,0,certificate,6.515
18,0,3000.0,1,11,8,3,5769.26,21746.3,232,19,0,0,certificate,5.604
19,0,3000.0,1,15,12,3,6795.12,27300.6,217,19,0,0,certificate,25.524
0,0,9000.0,1,11,8,3,5657.40,21512.0,220,19,0,0,certificate,16.305
1,0,9000.0,1,10,8,2,5935.64,22428.2,237,19,0,0,certificate,21.902
2,0,9000.0,1,15,12,3,7154.82,27754.1,261,19,0,0,certificate,51.285
3,0,9000.0,1,12,10,2,6626.94,25974.7,232,19,0,0,certificate,16.851
4,0,9000.0,1,14,13,1,6526.33,24641.6,258,19,0,0,certificate,24.558
5,0,9000.0,1,12,8,4,6301.67,23253.4,272,19,0,0,certificate,33.654
6,0,9000.0,1,11,9,2,5607.41,21702.0,205,19,0,0,certificate,6.759
7,0,9000.0,1,12,11,1,5982.47,23427.3,210,19,0,0,certificate,15.798
8,0,9000.0,1,13,10,3,5888.65,22833.3,216,19,0,0,certificate,20.403
9,0,9000.0,1,13,10,3,5691.47,21797.3,215,19,0,0,certificate,4.377
10,0,9000.0,1,11,9,2,6313.47,24257.3,239,19,0,0,certificate,25.612
11,0,9000.0,1,11,8,3,5575.76,20928.8,227,19,0,0,certificate,7.082
12,0,9000.0,1,12,10,2,6786.14,26355.7,249,19,0,0,certificate,25.889
13,0,9000.0,1,14,11,3,5977.73,22993.6,225,19,0,0,certificate,6.737
14,0,9000.0,1,10,7,3,6208.73,23533.6,247,19,0,0,certificate,13.484
15,0,9000.0,1,10,8,2,6004.89,22449.4,248,19,0,0,certificate,14.011
16,0,9000.0,1,13,10,3,5955.52,21982.6,253,19,0,0,certificate,15.681
17,0,9000.0,1,10,8,2,5537.88,21484.4,201,19,0,0,certificate,6.109
18,0,9000.0,1,11,8,3,5769.26,21746.3,232,19,0,0,certificate,5.506
19,0,9000.0,1,15,12,3,6795.12,27300.6,217,19,0,0,certificate,12.282
