trial,way_n,spacing,gate_inner,n_sources,cleared,remaining,time_s,walk_m,measures,cover_visits,way_stops,opp_unheard,stop_reason,wall_s
0,0,700.0,0,11,11,0,6018.45,20432.3,314,19,0,1,epsilon,4.748
1,0,700.0,0,10,10,0,6040.30,21281.5,290,19,0,2,epsilon,11.340
2,0,700.0,0,15,15,0,7015.11,25525.6,309,19,0,2,epsilon,17.047
3,0,700.0,0,12,12,0,6523.57,23412.9,298,19,0,0,epsilon,3.752
4,0,700.0,0,14,14,0,8189.84,28964.2,388,19,0,3,epsilon,21.145
5,0,700.0,0,12,12,0,6455.29,22261.5,325,19,0,2,epsilon,8.509
6,0,700.0,0,11,11,0,6827.00,23780.0,337,19,0,1,epsilon,16.284
7,0,700.0,0,12,12,0,7883.35,30396.7,293,19,0,3,epsilon,6.835
8,0,700.0,0,13,13,0,6770.75,24658.7,297,19,0,1,epsilon,9.361
9,0,700.0,0,13,13,0,6190.88,21574.4,304,19,0,1,epsilon,5.413
10,0,700.0,0,11,11,0,7656.79,26383.9,388,19,0,2,epsilon,39.974
11,0,700.0,0,11,11,0,6553.22,23751.1,294,19,0,2,epsilon,6.526
12,0,700.0,0,12,12,0,6419.50,22792.5,301,19,0,2,epsilon,11.512
13,0,700.0,0,14,14,0,6973.69,25778.5,292,19,0,3,epsilon,8.514
14,0,700.0,0,10,10,0,6536.19,23286.0,305,19,0,2,epsilon,14.054
15,0,700.0,0,10,10,0,6124.84,21859.2,285,19,0,0,epsilon,4.558
16,0,700.0,0,13,13,0,6550.02,23775.1,289,19,0,0,epsilon,10.681
17,0,700.0,0,10,10,0,6998.75,24548.8,342,19,0,2,epsilon,28.985
18,0,700.0,0,11,11,0,5730.68,19603.4,293,19,0,1,epsilon,7.228
19,0,700.0,0,15,15,0,6830.50,24772.5,301,19,0,3,epsilon,12.466
0,1,700.0,0,11,11,0,7678.31,22281.6,531,18,16,203,epsilon,23.107
1,1,700.0,0,10,10,0,6403.40,18582.0,440,18,16,173,epsilon,7.732
2,1,700.0,0,15,15,0,7223.83,25189.2,353,18,15,99,epsilon,34.711
3,1,700.0,0,12,12,0,7248.01,21755.1,474,18,16,186,epsilon,5.810
4,1,700.0,0,14,13,1,7102.63,22188.2,434,18,15,158,epsilon,5.719
5,1,700.0,0,12,12,0,8200.26,26146.3,488,18,15,170,epsilon,21.326
6,1,700.0,0,11,11,0,7394.58,22092.9,488,18,16,157,epsilon,22.969
7,1,700.0,0,12,12,0,6930.83,22094.1,411,18,15,146,epsilon,8.345
8,1,700.0,0,13,13,0,7704.59,23277.9,498,18,16,182,epsilon,29.550
9,1,700.0,0,13,13,0,7798.48,23922.4,492,18,14,166,epsilon,17.299
10,1,700.0,0,11,11,0,7447.09,22615.5,479,18,16,187,epsilon,11.409
11,1,700.0,0,11,11,0,8092.08,24720.4,516,18,18,217,epsilon,12.749
12,1,700.0,0,12,12,0,7563.69,23033.4,485,19,15,160,epsilon,14.462
13,1,700.0,0,14,14,0,7688.20,24706.0,448,19,14,138,epsilon,11.058
14,1,700.0,0,10,10,0,6670.19,20271.0,430,18,13,156,epsilon,10.896
15,1,700.0,0,10,10,0,6786.91,20079.5,455,18,15,180,epsilon,8.914
16,1,700.0,0,13,13,0,7523.52,23777.6,451,18,15,140,epsilon,19.107
17,1,700.0,0,10,10,0,7980.69,23643.4,536,18,17,214,epsilon,14.090
18,1,700.0,0,11,11,0,6159.94,18454.7,403,18,14,137,epsilon,4.487
19,1,700.0,0,15,15,0,7906.83,25174.1,468,19,16,160,epsilon,13.530
0,2,700.0,0,11,11,0,8827.35,21896.8,733,18,31,389,epsilon,26.787
1,2,700.0,0,10,10,0,8755.27,23426.4,671,18,27,298,epsilon,64.128
2,2,700.0,0,15,15,0,8195.21,26856.0,459,18,31,193,epsilon,36.025
3,2,700.0,0,12,12,0,8695.45,22867.3,678,18,30,336,epsilon,17.108
4,2,700.0,0,14,14,0,8841.64,23353.2,687,18,28,327,epsilon,34.068
5,2,700.0,0,12,12,0,9125.84,27174.2,606,18,29,265,epsilon,64.556
6,2,700.0,0,11,11,0,9013.73,23293.7,717,18,31,330,epsilon,65.566
7,2,700.0,0,12,12,0,7503.18,20800.9,551,18,28,260,epsilon,18.092
8,2,700.0,0,13,13,0,9110.21,25631.1,654,18,27,313,epsilon,109.820
9,2,700.0,0,13,13,0,9066.57,24397.8,688,19,30,328,epsilon,57.818
10,2,700.0,0,11,11,0,10522.26,28291.3,802,18,28,315,epsilon,123.901
11,2,700.0,0,11,11,0,9853.98,25509.9,784,18,33,407,epsilon,100.755
12,2,700.0,0,12,12,0,9139.91,24824.6,687,18,35,359,epsilon,62.876
13,2,700.0,0,14,14,0,7676.84,22389.2,523,19,28,248,epsilon,21.312
14,2,700.0,0,10,10,0,8121.21,21266.0,637,18,29,355,epsilon,17.753
15,2,700.0,0,10,10,0,7970.83,21044.1,621,18,30,340,epsilon,21.118
16,2,700.0,0,13,13,0,8421.20,23776.0,601,18,31,267,epsilon,42.163
17,2,700.0,0,10,10,0,9036.99,23710.0,710,18,33,402,epsilon,39.733
18,2,700.0,0,11,11,0,6979.21,18306.0,544,18,27,263,epsilon,10.646
19,2,700.0,0,15,15,0,7908.54,23352.7,530,18,30,251,epsilon,15.045
