trial,n_sources,cleared,remaining,time_s,walk_m,measures,replans,steps,cover_visits,stop_reason,wall_s
0,11,11,0,3719.338,14551.688,126,25,25,7,certificate,0.886
1,10,10,0,4620.177,19220.886,122,24,24,7,certificate,0.969
2,15,15,0,4509.093,18640.463,119,29,29,7,certificate,1.074
3,12,12,0,3953.724,15478.619,134,30,30,7,certificate,1.626
4,14,14,0,6059.663,22973.313,256,31,32,7,certificate,1.602
5,12,12,0,3982.644,15998.220,121,28,28,7,certificate,1.588
6,11,11,0,5626.352,18706.760,340,28,29,7,certificate,1.822
7,12,12,0,4060.712,16148.559,129,24,24,7,certificate,0.927
8,13,13,0,4619.843,19254.216,118,30,30,7,certificate,1.016
9,13,13,0,5024.012,17065.062,287,30,31,7,certificate,1.805
10,11,11,0,4182.467,16832.336,127,29,30,7,certificate,1.345
11,11,11,0,3829.710,15533.548,112,25,25,7,certificate,1.416
12,12,12,0,4004.675,16283.374,115,23,23,7,certificate,1.130
13,14,14,0,3457.658,13848.290,104,26,26,7,certificate,1.064
14,10,10,0,3799.474,14987.370,126,23,23,7,certificate,0.981
15,10,10,0,4349.954,17829.768,124,26,26,7,certificate,1.136
16,13,13,0,3861.230,15161.152,128,29,29,7,certificate,1.079
17,10,10,0,3509.613,13833.067,116,29,29,7,certificate,1.578
18,11,11,0,4067.667,16508.334,119,25,25,7,certificate,1.231
19,15,15,0,6483.678,22988.391,338,27,28,7,certificate,1.860
20,11,11,0,4141.789,16958.947,116,24,24,7,certificate,1.122
21,13,13,0,5338.417,18827.083,281,29,30,7,certificate,1.107
22,11,11,0,4375.500,13962.502,282,26,27,7,certificate,1.414
23,13,13,0,3920.409,15742.047,118,29,29,7,certificate,1.354
24,15,15,0,5848.294,21146.470,285,29,30,7,certificate,1.606
25,16,16,0,4265.947,17849.737,103,33,33,7,certificate,1.028
26,10,10,0,5167.180,16545.898,335,24,25,7,certificate,1.923
27,11,11,0,3852.601,15113.003,130,27,27,7,certificate,1.549
28,12,12,0,4445.300,18346.500,121,28,28,7,certificate,0.956
29,12,12,0,4188.526,16997.630,122,26,26,7,certificate,1.002
30,16,16,0,4434.485,18587.427,106,30,30,7,certificate,0.873
31,10,10,0,3713.608,14618.042,124,26,26,7,certificate,1.433
32,16,16,0,4069.410,16527.050,115,32,32,7,certificate,1.185
33,11,11,0,3767.095,14945.473,121,26,26,7,certificate,1.377
34,16,16,0,3758.257,15431.286,99,27,27,7,certificate,1.019
35,15,15,0,4041.380,16886.898,99,29,29,7,certificate,0.804
36,10,10,0,4799.723,16053.615,283,23,24,7,certificate,1.370
37,10,10,0,3764.473,15002.367,120,22,22,7,certificate,1.281
38,15,15,0,4185.747,17008.736,119,28,28,7,certificate,1.333
39,14,14,0,4343.065,17845.324,118,32,32,7,certificate,1.152
40,16,16,0,4184.760,16598.799,131,32,32,7,certificate,1.526
41,12,12,0,4144.576,16962.881,116,27,27,7,certificate,1.260
42,11,11,0,5690.438,18472.188,361,28,29,7,certificate,1.438
43,15,15,0,4664.320,19076.601,135,30,31,7,certificate,1.147
44,13,13,0,4204.604,16953.018,125,30,30,7,certificate,1.395
45,11,11,0,4303.515,17847.575,114,24,24,7,certificate,1.299
46,14,14,0,5726.051,19760.253,315,33,34,7,certificate,1.837
47,12,12,0,4500.106,18590.532,121,28,28,7,certificate,1.249
48,15,15,0,3942.639,16268.197,103,29,29,7,certificate,1.127
49,11,11,0,5321.677,18563.385,286,26,27,7,certificate,1.782
50,11,11,0,4121.427,16497.133,128,26,26,7,certificate,1.358
51,12,12,0,4852.685,20253.424,124,27,27,7,certificate,1.480
52,16,16,0,4810.642,20613.211,102,33,33,7,certificate,1.156
53,15,15,0,4355.304,18286.522,105,33,33,7,certificate,1.634
54,10,10,0,4494.206,17941.031,144,24,24,7,certificate,1.281
55,15,15,0,4131.773,16923.863,112,27,27,7,certificate,1.266
56,14,14,0,4876.572,20297.859,125,28,28,7,certificate,1.299
57,15,15,0,4543.605,18163.025,146,32,33,7,certificate,1.184
58,16,16,0,4878.025,20120.126,130,36,36,7,certificate,1.515
59,11,11,0,3815.586,15197.929,121,27,27,7,certificate,1.234
60,13,13,0,4377.034,18315.168,109,31,31,7,certificate,1.430
61,16,16,0,4557.615,18913.077,117,35,35,7,certificate,1.143
62,16,16,0,5059.877,20649.383,148,33,34,7,certificate,1.559
63,16,16,0,4654.283,18936.413,136,28,29,7,certificate,1.196
64,12,12,0,4183.216,17211.082,114,25,25,7,certificate,1.232
65,15,15,0,4254.545,17452.725,116,31,31,7,certificate,1.226
66,12,12,0,4447.315,18136.577,128,28,28,7,certificate,1.383
67,11,11,0,4337.285,17696.425,124,26,26,7,certificate,1.403
68,16,16,0,3889.953,15639.765,114,29,29,7,certificate,1.165
69,13,13,0,3966.180,16090.901,114,28,28,7,certificate,1.244
70,13,13,0,4156.646,16818.230,122,28,28,7,certificate,1.386
71,13,13,0,4150.458,17387.290,102,25,25,7,certificate,0.963
72,10,10,0,4465.487,17932.435,139,27,27,7,certificate,1.611
73,11,11,0,4006.667,16238.335,118,24,24,7,certificate,1.455
74,13,13,0,6942.294,23261.468,421,32,34,7,certificate,2.109
75,15,15,0,4337.753,17443.763,129,31,31,7,certificate,1.487
76,15,15,0,4866.210,19741.049,147,35,36,7,certificate,1.355
77,12,12,0,5120.418,20907.090,151,32,33,7,certificate,1.413
78,14,14,0,6110.137,21755.686,316,30,31,7,certificate,1.805
79,12,12,0,4705.089,19925.444,111,29,29,7,certificate,1.469
80,13,13,0,5478.489,19282.444,288,28,29,7,certificate,1.800
81,13,13,0,3479.469,13367.347,124,25,25,7,certificate,1.464
82,16,16,0,3393.791,13033.954,118,31,31,7,certificate,1.051
83,11,11,0,3994.968,15979.839,124,23,23,7,certificate,1.288
84,16,16,0,4269.509,17742.546,108,29,29,7,certificate,1.219
85,10,10,0,4417.230,18106.150,125,25,25,7,certificate,1.354
86,16,16,0,4525.872,19219.359,101,30,30,7,certificate,1.143
87,13,13,0,4484.786,18043.932,141,30,31,7,certificate,1.328
88,10,10,0,4344.027,17685.136,127,24,24,7,certificate,1.463
89,13,13,0,4062.055,16750.276,108,28,28,7,certificate,1.528
90,10,10,0,5534.139,17875.695,354,25,26,7,certificate,1.744
91,16,16,0,3751.595,15122.974,109,27,27,7,certificate,1.048
92,15,15,0,5530.102,19470.510,289,35,36,7,certificate,1.802
93,12,12,0,4036.248,15956.241,131,27,27,7,certificate,1.272
94,14,14,0,4398.124,17840.622,127,28,28,7,certificate,1.337
95,15,15,0,4321.582,17417.908,130,29,30,7,certificate,1.187
96,12,12,0,5615.181,17225.906,401,27,29,7,certificate,2.037
97,13,13,0,5840.943,20374.714,313,27,28,7,certificate,1.796
98,15,15,0,4781.470,20412.348,105,33,33,7,certificate,1.164
99,13,13,0,4275.850,17614.250,115,28,28,7,certificate,1.071
100,13,13,0,4489.130,18485.650,122,29,29,7,certificate,1.445
101,13,13,0,4142.400,17282.001,104,25,25,7,certificate,1.254
102,12,12,0,4637.625,19123.124,127,29,30,7,certificate,1.492
103,15,15,0,4524.631,18623.154,122,40,40,7,certificate,1.478
104,12,12,0,4116.306,16696.531,120,30,30,7,certificate,1.333
105,16,16,0,4838.970,20104.849,124,36,36,7,certificate,1.176
106,16,16,0,4783.124,19730.621,132,35,36,7,certificate,1.452
107,15,15,0,4590.203,18966.016,122,35,35,7,certificate,1.355
108,11,11,0,3701.897,14789.484,116,27,27,7,certificate,1.378
109,12,12,0,3898.163,15430.814,126,26,26,7,certificate,1.257
110,12,12,0,4226.871,16889.353,132,27,27,7,certificate,1.377
111,12,12,0,6058.086,20995.430,336,31,32,7,certificate,1.905
112,16,16,0,4949.189,20810.943,119,30,30,7,certificate,1.109
113,15,15,0,4250.803,17229.016,122,29,29,7,certificate,1.214
114,13,13,0,4721.027,19885.133,114,30,30,7,certificate,1.398
115,11,11,0,4755.759,19523.794,133,29,29,7,certificate,1.502
116,12,12,0,4130.698,16773.489,121,32,32,7,certificate,1.602
117,14,14,0,4453.016,18595.082,112,27,27,7,certificate,1.371
118,16,16,0,5899.913,21754.564,274,32,33,7,certificate,1.407
119,12,12,0,4053.008,16345.041,121,25,25,7,certificate,1.248
120,10,10,0,3766.661,15013.303,119,26,26,7,certificate,1.485
121,12,12,0,3952.949,15609.747,129,28,28,7,certificate,1.271
122,12,12,0,4093.602,16618.012,119,26,26,7,certificate,1.255
123,11,11,0,3798.089,15495.444,108,24,24,7,certificate,1.369
124,10,10,0,3636.331,14221.657,125,25,25,7,certificate,1.231
125,10,10,0,4159.596,17142.981,114,23,23,7,certificate,1.150
126,10,10,0,5217.499,16667.495,345,24,25,7,certificate,2.022
127,15,15,0,4383.668,17703.340,130,31,31,7,certificate,1.214
128,11,11,0,5763.879,18844.395,364,28,29,7,certificate,2.290
129,16,16,0,3976.875,16559.375,99,31,31,7,certificate,1.329
130,16,16,0,6171.508,21277.540,342,36,37,7,certificate,1.893
131,10,10,0,4011.262,16321.308,117,26,26,7,certificate,1.276
132,16,16,0,3796.697,15513.484,104,32,32,7,certificate,1.269
133,11,11,0,3700.079,14820.397,114,28,28,7,certificate,1.350
134,13,13,0,5406.832,18779.158,294,29,30,7,certificate,1.914
135,13,13,0,4368.509,17892.546,121,31,31,7,certificate,1.452
136,10,10,0,5359.705,18123.527,312,28,29,7,certificate,1.887
137,13,13,0,3911.758,15248.791,134,25,25,7,certificate,1.048
138,15,15,0,4221.391,16956.957,126,28,28,7,certificate,1.033
139,12,12,0,3959.839,16029.194,116,24,24,7,certificate,1.182
140,16,16,0,4508.888,18704.439,115,33,33,7,certificate,1.286
141,15,15,0,4368.210,17916.050,119,30,30,7,certificate,1.432
142,13,13,0,4086.217,16356.084,125,29,29,7,certificate,1.359
143,16,16,0,4244.842,17464.211,112,34,34,7,certificate,1.326
144,16,16,0,4592.768,19298.839,110,35,35,7,certificate,1.235
145,14,14,0,3849.291,15766.453,105,29,29,7,certificate,1.109
146,15,15,0,4306.296,17761.481,114,32,32,7,certificate,1.183
147,16,16,0,4537.478,18607.389,124,31,31,7,certificate,1.159
148,15,15,0,4773.342,20046.709,115,28,28,7,certificate,1.123
149,14,14,0,5011.338,20551.692,143,33,34,7,certificate,1.325
150,11,11,0,3975.722,15673.611,132,26,26,7,certificate,1.365
151,12,12,0,4371.294,18001.472,120,29,29,7,certificate,1.401
152,12,12,0,4205.620,16848.102,130,26,26,7,certificate,1.555
153,16,16,0,4356.893,18044.465,111,31,31,7,certificate,1.322
154,15,15,0,4467.554,18232.772,125,31,31,7,certificate,1.068
155,13,13,0,4047.446,16472.228,115,28,28,7,certificate,1.251
156,10,10,0,4024.144,16290.718,120,25,25,7,certificate,1.413
157,12,12,0,4223.869,17349.343,117,27,27,7,certificate,1.226
158,11,11,0,3554.788,14033.940,116,24,24,7,certificate,1.255
159,14,14,0,4118.715,16993.574,109,31,31,7,certificate,1.324
160,14,14,0,3959.327,16316.635,105,28,28,7,certificate,1.374
161,15,15,0,4299.510,17492.550,122,31,31,7,certificate,1.211
162,14,14,0,4071.357,16686.784,112,28,28,7,certificate,1.298
