trial,n_sources,cleared,remaining,time_s,walk_m,measures,replans,wall_s,cover_visits,cover_visits_at_first_clear,stop_reason
0,11,11,0,3915.5474,15112.7371,140,19,0.411273,7,3,certificate
1,10,10,0,3014.3688,10686.8440,138,20,0.453771,7,2,certificate
2,15,15,0,3995.5222,15142.6110,150,27,0.512527,7,2,certificate
3,12,12,0,3527.2687,13616.3436,125,22,0.704712,7,2,certificate
4,14,14,0,4111.1416,15700.7078,151,24,0.519982,7,2,certificate
5,12,12,0,3652.6587,14253.2934,124,24,0.467523,7,2,certificate
6,11,11,0,3357.4222,12282.1110,141,20,0.458712,7,2,certificate
7,12,12,0,3460.7531,13123.7655,130,21,0.731332,7,2,certificate
8,13,13,0,3743.9656,13154.8279,175,24,0.552977,7,3,certificate
9,13,13,0,3559.4352,13577.1760,131,23,0.627633,7,2,certificate
10,11,11,0,3301.8126,11919.0630,144,20,0.450059,7,2,certificate
11,11,11,0,3751.8124,14499.0620,133,21,0.325051,7,2,certificate
12,12,12,0,3542.6213,12753.1065,156,22,0.459872,7,2,certificate
13,14,14,0,3447.0856,13120.4280,126,22,0.585081,7,3,certificate
14,10,10,0,4108.5940,15017.9701,176,37,1.250651,7,2,certificate
15,10,10,0,3539.8400,13104.1999,145,20,0.461115,7,2,certificate
16,13,13,0,3723.0706,14305.3529,134,25,0.610917,7,2,certificate
17,10,10,0,3009.2587,10426.2933,146,20,0.574509,7,2,certificate
18,11,11,0,3072.5565,10567.7826,151,20,0.531339,7,2,certificate
19,15,15,0,3770.2106,13511.0531,166,26,0.509322,7,3,certificate
20,11,11,0,3453.9433,12714.7166,143,24,0.491299,7,2,certificate
21,13,13,0,3972.1849,15645.9245,130,23,0.733967,7,2,certificate
22,11,11,0,3159.7999,11423.9997,137,22,0.462461,7,2,certificate
23,13,13,0,3745.4990,14217.4948,140,23,0.534919,7,2,certificate
24,15,15,0,3769.5523,14232.7614,143,27,0.550346,7,2,certificate
25,16,16,0,4043.8087,15564.0437,142,25,0.533262,7,2,certificate
26,10,10,0,3356.2109,12001.0546,151,21,0.605802,7,2,certificate
27,11,11,0,3400.1177,11695.5884,168,21,0.528091,7,2,certificate
28,12,12,0,3632.3732,13141.8660,158,27,0.544154,7,2,certificate
29,12,12,0,3124.4371,11127.1854,140,22,1.200474,7,2,certificate
30,16,16,0,3753.5066,13812.5329,153,24,0.575226,7,2,certificate
31,10,10,0,3259.7291,11758.6457,144,19,0.354208,7,2,certificate
32,16,16,0,3961.8277,14659.1385,159,24,0.392302,7,2,certificate
33,11,11,0,3631.3502,13211.7509,156,22,0.337140,7,3,certificate
34,16,16,0,3692.6821,13373.4104,157,25,0.495786,7,2,certificate
35,15,15,0,3762.1205,13980.6026,149,26,0.595768,7,2,certificate
36,10,10,0,3253.7758,12153.8791,129,22,0.441382,7,3,certificate
37,10,10,0,3639.6455,14068.2274,130,20,0.586367,7,2,certificate
38,15,15,0,4198.2803,15796.4015,161,26,0.509931,7,2,certificate
39,14,14,0,3893.6593,14608.2967,151,30,1.829452,7,2,certificate
40,16,16,0,3636.5377,13957.6884,128,30,0.770030,7,2,certificate
41,12,12,0,4191.4418,16522.2088,138,22,0.462447,7,2,certificate
42,11,11,0,3817.4936,14562.4678,142,24,0.785363,7,2,certificate
43,15,15,0,3501.0877,12180.4387,165,24,0.651392,7,2,certificate
44,13,13,0,4250.2034,16741.0169,140,21,0.508710,7,2,certificate
45,11,11,0,3707.7200,14023.6002,142,24,0.574916,7,2,certificate
46,14,14,0,3621.5586,13417.7929,145,26,0.697350,7,2,certificate
47,12,12,0,3422.5017,12632.5083,140,25,0.708152,7,2,certificate
48,15,15,0,4398.2712,16746.3558,163,25,0.612479,7,2,certificate
49,11,11,0,3537.4255,12802.1273,154,22,0.540927,7,2,certificate
50,11,11,0,3364.5014,11907.5069,155,22,0.664643,7,2,certificate
51,12,12,0,3327.0189,12130.0943,141,22,0.528835,7,2,certificate
52,16,16,0,4011.3148,15496.5739,139,28,1.237629,7,2,certificate
53,15,15,0,4404.5756,17017.8779,155,26,0.567632,7,2,certificate
54,10,10,0,3285.4929,11657.4647,151,19,0.433836,7,3,certificate
55,15,15,0,3867.2022,13931.0110,168,25,0.492950,7,2,certificate
56,14,14,0,3787.8933,14364.4665,141,23,0.661660,7,2,certificate
57,15,15,0,3914.1391,14590.6955,154,24,0.442932,7,3,certificate
58,16,16,0,4118.1348,15890.6741,144,26,0.484864,7,2,certificate
59,11,11,0,4167.8812,16179.4062,148,22,0.415212,7,2,certificate
60,13,13,0,3533.3902,12916.9512,148,25,0.830768,7,2,certificate
61,16,16,0,3980.4196,14912.0982,155,26,0.599171,7,2,certificate
62,16,16,0,3685.4529,13992.2646,135,25,0.498258,7,2,certificate
63,16,16,0,4090.1983,15840.9915,141,24,0.617313,7,2,certificate
64,12,12,0,3546.6686,13098.3432,145,23,0.533281,7,2,certificate
65,15,15,0,3666.5632,13257.8161,157,26,0.631920,7,2,certificate
66,12,12,0,4030.7923,14783.9615,170,24,0.581750,7,2,certificate
67,11,11,0,3790.2094,14451.0472,141,22,0.520263,7,2,certificate
68,16,16,0,3985.9761,15514.8805,134,27,0.652358,7,3,certificate
69,13,13,0,3221.4034,11287.0168,150,24,0.510315,7,2,certificate
70,13,13,0,3496.7453,11808.7265,178,30,0.578074,7,3,certificate
71,13,13,0,3807.6424,14823.2120,130,22,0.803253,7,2,certificate
72,10,10,0,3561.9559,13094.7793,149,19,0.485489,7,2,certificate
73,11,11,0,3516.2858,13231.4289,136,20,0.386521,7,2,certificate
74,13,13,0,3886.7313,14918.6565,140,24,0.576585,7,2,certificate
75,15,15,0,3791.0771,14665.3856,131,28,0.699459,7,2,certificate
76,15,15,0,3899.9222,14059.6111,169,26,0.418381,7,2,certificate
77,12,12,0,4173.4620,16147.3101,148,27,0.530164,7,2,certificate
78,14,14,0,3757.0127,14080.0633,146,24,0.495564,7,2,certificate
79,12,12,0,3190.4444,11337.2220,145,18,0.559925,7,2,certificate
80,13,13,0,3273.9701,11444.8507,153,21,0.407140,7,2,certificate
81,13,13,0,3616.3911,13956.9553,127,22,0.414307,7,2,certificate
82,16,16,0,3429.3684,12861.8420,130,25,0.507656,7,3,certificate
83,11,11,0,3716.9676,13859.8379,149,22,0.432027,7,2,certificate
84,16,16,0,3963.5813,15242.9065,140,25,0.931815,7,2,certificate
85,10,10,0,3526.0860,13410.4299,133,21,0.482861,7,2,certificate
86,16,16,0,3526.9747,13264.8735,133,24,1.002385,7,2,certificate
87,13,13,0,3195.1157,11335.5787,145,23,1.159785,7,2,certificate
88,10,10,0,3415.2960,12851.4798,133,23,0.528157,7,2,certificate
89,13,13,0,3932.2408,15141.2040,140,25,0.612425,7,2,certificate
90,10,10,0,3446.1835,12650.9177,145,24,0.558375,7,2,certificate
91,16,16,0,2959.2010,10121.0050,143,21,0.525778,7,2,certificate
92,15,15,0,3538.3225,12456.6126,162,23,0.379256,7,2,certificate
93,12,12,0,3524.1277,12565.6385,159,24,0.518067,7,2,certificate
94,14,14,0,3430.6446,12048.2228,160,23,0.537571,7,3,certificate
95,15,15,0,3746.1579,13980.7896,147,28,0.881869,7,2,certificate
96,12,12,0,3176.5226,11707.6131,129,20,0.380558,7,2,certificate
97,13,13,0,3947.6638,14648.3192,159,25,0.358602,7,2,certificate
98,15,15,0,4406.9984,17499.9919,139,28,0.555065,7,2,certificate
99,13,13,0,3150.6235,11223.1174,141,22,0.505957,7,2,certificate
100,13,13,0,3578.7533,12668.7664,164,23,0.566734,7,2,certificate
101,13,13,0,3696.6674,13863.3370,144,25,0.541652,7,2,certificate
102,12,12,0,3608.8539,13899.2694,129,21,0.528710,7,2,certificate
103,15,15,0,3624.4161,13892.0803,129,25,0.581997,7,2,certificate
104,12,12,0,3851.7729,15068.8644,130,22,0.572108,7,2,certificate
105,16,16,0,3603.7233,14178.6163,115,27,1.867073,7,3,certificate
106,16,16,0,4701.6310,18963.1550,139,25,0.507341,7,2,certificate
107,15,15,0,3771.2428,14321.2140,139,26,0.677418,7,2,certificate
108,11,11,0,3276.3392,12261.6961,129,21,0.606941,7,2,certificate
109,12,12,0,3869.1052,14700.5259,145,21,0.463073,7,2,certificate
110,12,12,0,3699.5194,13942.5971,142,23,0.552289,7,2,certificate
111,12,12,0,3594.8999,13694.4996,133,25,0.465861,7,2,certificate
112,16,16,0,3723.3833,14296.9166,131,27,0.948386,7,2,certificate
113,15,15,0,4185.3835,15701.9177,162,27,0.541349,7,2,certificate
114,13,13,0,4144.0063,16245.0315,139,24,0.396355,7,2,certificate
115,11,11,0,3161.1960,11335.9802,141,19,0.427235,7,3,certificate
116,12,12,0,4315.1771,16810.8853,149,24,0.353959,7,3,certificate
117,14,14,0,4486.4011,17807.0054,143,23,0.423454,7,3,certificate
118,16,16,0,3992.1688,15285.8441,143,25,0.461108,7,2,certificate
119,12,12,0,2989.4628,10432.3138,141,21,0.721182,7,2,certificate
120,10,10,0,3117.3964,11296.9822,135,16,0.315398,7,2,certificate
121,12,12,0,3506.1764,13375.8819,129,23,0.485508,7,2,certificate
122,12,12,0,3691.8940,13734.4698,148,26,0.550757,7,2,certificate
123,11,11,0,3306.0939,12490.4693,126,21,0.593942,7,2,certificate
124,10,10,0,4163.1266,16310.6332,143,31,0.897913,7,2,certificate
125,10,10,0,3447.4029,12837.0146,139,19,0.485628,7,2,certificate
126,10,10,0,3028.2163,11131.0817,126,17,0.229066,7,2,certificate
127,15,15,0,3974.1026,15305.5129,140,25,0.609526,7,2,certificate
128,11,11,0,4202.4894,16422.4470,145,21,0.299283,7,3,certificate
129,16,16,0,4506.7623,17993.8114,139,27,0.918385,7,2,certificate
130,16,16,0,4338.8810,16524.4050,160,28,0.527244,7,2,certificate
131,10,10,0,3636.7800,13888.8998,135,19,0.448723,7,2,certificate
132,16,16,0,4239.3721,16156.8606,156,25,0.580072,7,2,certificate
133,11,11,0,3461.5191,12882.5957,139,20,0.419092,7,2,certificate
134,13,13,0,3783.6522,13948.2608,155,22,0.374289,7,2,certificate
135,13,13,0,4281.6226,16758.1129,145,25,0.477875,7,2,certificate
136,10,10,0,3634.3062,13571.5312,146,19,0.360364,7,2,certificate
137,13,13,0,3586.8061,13259.0304,146,23,0.489607,7,4,certificate
138,15,15,0,4330.5116,16847.5580,148,24,0.512298,7,2,certificate
139,12,12,0,3835.3306,14176.6528,157,22,0.448294,7,2,certificate
140,16,16,0,4219.2988,16481.4942,141,28,0.609831,7,2,certificate
141,15,15,0,3663.1928,12770.9638,173,26,0.490059,7,2,certificate
142,13,13,0,3691.6182,13103.0911,168,22,0.408973,7,2,certificate
143,16,16,0,3565.2097,12461.0483,166,22,0.426821,7,2,certificate
144,16,16,0,4526.0766,17745.3831,150,29,0.567078,7,2,certificate
145,14,14,0,3618.5729,13442.8647,144,25,0.606507,7,3,certificate
146,15,15,0,4071.2262,15741.1310,142,23,0.413124,7,2,certificate
147,16,16,0,3492.6796,12698.3979,146,25,0.455661,7,2,certificate
148,15,15,0,3402.2918,11676.4588,166,23,0.588359,7,2,certificate
149,14,14,0,4298.9328,16639.6642,151,26,0.494801,7,2,certificate
150,11,11,0,4093.9862,16299.9310,130,17,0.288116,7,2,certificate
