trial,n_sources,cleared,remaining,time_s,walk_m,measures,replans,wall_s,cover_visits,cover_visits_at_first_clear,stop_reason
0,11,11,0,3435.4840,13442.4198,116,20,0.464699,7,3,certificate
1,10,10,0,2905.1179,10510.5895,126,19,0.305010,7,3,certificate
2,15,15,0,3709.2988,14656.4938,118,23,0.369202,7,2,certificate
3,12,12,0,3489.7690,13318.8449,129,22,0.475131,7,2,certificate
4,14,14,0,4093.3462,15921.7310,140,26,0.585262,7,2,certificate
5,12,12,0,3526.2666,13561.3331,126,23,0.607991,7,1,certificate
6,11,11,0,3427.7028,12743.5139,138,22,0.887483,7,2,certificate
7,12,12,0,3703.2446,14516.2231,124,22,0.575809,7,2,certificate
8,13,13,0,3131.3550,11771.7750,119,27,0.716261,7,2,certificate
9,13,13,0,3534.9107,13674.5534,123,24,0.537709,7,2,certificate
10,11,11,0,3047.8228,11519.1140,115,21,0.438375,7,2,certificate
11,11,11,0,3753.5563,14902.7815,120,23,0.437806,7,2,certificate
12,12,12,0,3459.0871,12955.4355,135,24,1.678040,7,1,certificate
13,14,14,0,3438.9703,13279.8515,119,25,1.990681,7,2,certificate
14,10,10,0,2991.7884,11288.9422,114,19,0.554351,7,2,certificate
15,10,10,0,3235.2083,12271.0414,122,19,0.403542,7,2,certificate
16,13,13,0,3705.4126,14202.0630,134,25,0.547945,7,2,certificate
17,10,10,0,2928.3826,11191.9132,107,19,0.334392,7,3,certificate
18,11,11,0,2919.7264,10518.6318,127,21,0.501262,7,2,certificate
19,15,15,0,3656.1302,14085.6511,128,25,0.674089,7,2,certificate
20,11,11,0,3451.1767,13630.8837,112,21,1.654014,7,2,certificate
21,13,13,0,3952.8638,15959.3190,117,23,0.778440,7,1,certificate
22,11,11,0,2875.7134,10613.5670,117,21,0.360635,7,2,certificate
23,13,13,0,3064.1210,11480.6050,118,21,0.525553,7,2,certificate
24,15,15,0,3624.5338,13817.6688,132,29,0.516951,7,2,certificate
25,16,16,0,3609.2784,13751.3922,130,28,0.672416,7,2,certificate
26,10,10,0,3044.2666,11256.3328,124,20,1.327592,7,2,certificate
27,11,11,0,2745.9135,10044.5675,114,17,1.305667,7,2,certificate
28,12,12,0,3751.4452,14837.2259,121,22,0.492816,7,3,certificate
29,12,12,0,3477.5998,13567.9989,118,21,0.700557,7,2,certificate
30,16,16,0,3401.9241,13294.6207,111,24,0.483296,7,2,certificate
31,10,10,0,3841.6880,14913.4398,135,22,0.472800,7,2,certificate
32,16,16,0,3561.8670,14324.3350,103,24,0.622066,7,2,certificate
33,11,11,0,3578.8522,13369.2608,143,23,1.096707,7,2,certificate
34,16,16,0,3038.2510,11591.2550,107,24,1.543501,7,2,certificate
35,15,15,0,3398.9163,12849.5817,126,24,0.657471,7,2,certificate
36,10,10,0,3251.6896,11688.4481,145,21,0.415411,7,2,certificate
37,10,10,0,3455.1648,13610.8238,115,20,0.757448,7,2,certificate
38,15,15,0,4300.6428,17538.2140,120,28,0.627911,7,2,certificate
39,14,14,0,3536.6063,14008.0316,111,24,0.961175,7,2,certificate
40,16,16,0,3337.8919,13159.4597,105,27,2.437146,7,2,certificate
41,12,12,0,3502.5495,13682.7474,118,22,0.698195,7,2,certificate
42,11,11,0,3345.1112,12450.5558,133,22,0.617274,7,2,certificate
43,15,15,0,3356.1467,12290.7336,139,28,0.824284,7,2,certificate
44,13,13,0,3771.0830,14845.4150,123,26,0.449040,7,2,certificate
45,11,11,0,3585.3093,13396.5463,143,23,0.845827,7,2,certificate
46,14,14,0,3553.6916,13883.4578,118,25,1.219308,7,2,certificate
47,12,12,0,3706.5759,14372.8797,129,25,1.542115,7,2,certificate
48,15,15,0,3515.0983,13370.4915,128,24,0.598478,7,2,certificate
49,11,11,0,3610.9382,13949.6910,128,21,1.574557,7,3,certificate
