trial,n_sources,cleared,remaining,time_s,walk_m,measures,replans,wall_s,cover_visits,cover_visits_at_first_clear,cover_snaps,n_cover_moves,stop_reason
0,11,11,0,3368.0290,13215.1452,112,18,0.380742,7,2,7,6,certificate
1,10,10,0,2993.7707,11068.8537,122,18,0.282467,7,2,7,6,certificate
2,15,15,0,3661.1061,14680.5303,109,23,0.224763,7,2,7,6,certificate
3,12,12,0,3471.1745,13265.8726,127,20,0.320560,7,2,7,6,certificate
4,14,14,0,3607.9149,14169.5744,118,24,0.275892,7,2,7,6,certificate
5,12,12,0,3846.5942,15087.9710,129,23,0.285279,7,2,7,6,certificate
6,11,11,0,3230.2306,12301.1529,119,19,0.258563,7,2,7,6,certificate
7,12,12,0,3348.8883,12714.4414,125,22,0.513013,7,3,7,6,certificate
8,13,13,0,3023.1508,11290.7539,117,21,0.256711,7,2,7,6,certificate
9,13,13,0,4003.8536,15564.2678,138,22,0.222687,7,3,7,6,certificate
10,11,11,0,2948.1106,11000.5528,116,21,0.291135,7,2,7,6,certificate
11,11,11,0,3198.8818,12129.4092,120,21,0.275409,7,2,7,6,certificate
12,12,12,0,3189.1554,11695.7768,132,21,0.266524,7,2,7,6,certificate
13,14,14,0,3123.8568,12004.2841,109,21,0.306526,7,2,7,6,certificate
14,10,10,0,3067.2353,11551.1764,118,17,0.381580,7,2,7,6,certificate
15,10,10,0,3177.5009,11947.5047,123,16,0.211115,7,2,7,6,certificate
16,13,13,0,3383.9395,12934.6975,123,26,0.561145,7,2,7,6,certificate
17,10,10,0,3019.2377,11341.1883,117,18,0.260537,7,2,7,6,certificate
18,11,11,0,2896.4593,10722.2965,117,21,0.233808,7,2,7,6,certificate
19,15,15,0,3608.3205,14111.6023,119,26,0.337606,7,2,7,6,certificate
20,11,11,0,3260.0778,12240.3890,126,21,0.247097,7,2,7,6,certificate
21,13,13,0,3598.9017,14399.5086,109,21,0.469378,7,2,7,6,certificate
22,11,11,0,2867.4174,10387.0871,123,21,0.403200,7,2,7,6,certificate
23,13,13,0,3338.7232,12988.6161,113,19,0.287982,7,2,7,6,certificate
24,15,15,0,3582.0554,14175.2768,112,24,0.274211,7,2,7,6,certificate
25,16,16,0,3156.4905,12132.4527,108,24,0.172909,7,2,6,5,certificate
26,10,10,0,3168.5472,12037.7361,119,18,0.206896,7,2,7,6,certificate
27,11,11,0,2962.2650,11271.3251,109,18,0.330877,7,2,7,6,certificate
28,12,12,0,3694.6725,14653.3625,118,21,0.338096,7,2,7,6,certificate
29,12,12,0,3046.1035,11200.5175,125,21,0.255179,7,2,7,6,certificate
30,16,16,0,3406.1367,13260.6835,113,25,0.247546,7,2,6,5,certificate
31,10,10,0,3357.6916,12353.4581,140,21,0.314832,7,2,7,6,certificate
32,16,16,0,3578.7590,14353.7951,105,24,0.691432,7,2,7,6,certificate
33,11,11,0,3497.1931,13415.9657,127,19,0.187830,7,2,7,6,certificate
34,16,16,0,3145.8971,12414.4856,98,24,0.274751,7,2,7,6,certificate
35,15,15,0,3339.9004,12834.5021,117,24,0.501927,7,2,7,6,certificate
36,10,10,0,3154.0690,11805.3450,124,18,0.254627,7,2,7,6,certificate
37,10,10,0,3522.8502,13429.2511,132,18,0.254646,7,3,7,6,certificate
38,15,15,0,3633.2848,14351.4240,115,25,0.268908,7,2,7,6,certificate
39,14,14,0,3397.3478,13076.7392,119,23,0.353338,7,2,7,6,certificate
40,16,16,0,3157.8690,12429.3448,99,25,0.233713,7,2,5,3,certificate
41,12,12,0,3787.6267,15133.1336,117,23,0.280991,7,2,7,6,certificate
42,11,11,0,3295.4984,12637.4921,119,20,0.312341,7,2,7,6,certificate
43,15,15,0,3246.0490,12390.2450,116,25,0.301419,7,2,7,6,certificate
44,13,13,0,3784.1886,15030.9432,119,22,0.218499,7,2,7,6,certificate
45,11,11,0,3736.5641,14782.8205,121,19,0.255378,7,2,7,6,certificate
46,14,14,0,3566.2313,14206.1563,110,25,0.248451,7,2,7,6,certificate
47,12,12,0,3849.6753,15233.3765,124,23,0.319597,7,2,7,6,certificate
48,15,15,0,3439.4247,13477.1234,112,24,0.430485,7,2,7,6,certificate
49,11,11,0,3688.1304,14255.6519,131,21,0.319817,7,2,7,6,certificate
50,11,11,0,3574.4640,13972.3200,121,19,0.240954,7,2,7,6,certificate
51,12,12,0,3268.1182,12390.5911,122,22,0.224499,7,2,7,6,certificate
52,16,16,0,3971.0473,15990.2367,116,26,0.222602,7,2,6,5,certificate
53,15,15,0,3910.0678,15360.3391,128,26,0.301997,7,2,7,6,certificate
54,10,10,0,3185.4761,11842.3807,128,18,0.260803,7,2,7,6,certificate
55,15,15,0,3508.4970,13482.4850,124,25,0.516712,7,2,7,6,certificate
56,14,14,0,3181.1287,12125.6436,115,22,0.278485,7,2,7,6,certificate
57,15,15,0,3662.5719,14002.8593,132,26,0.374237,7,2,7,6,certificate
58,16,16,0,3375.2038,12476.0189,134,26,0.294273,7,2,6,5,certificate
59,11,11,0,4507.8989,18524.4946,125,19,0.216436,7,2,7,6,certificate
60,13,13,0,3405.1733,13170.8666,118,21,0.273708,7,2,7,6,certificate
61,16,16,0,3815.3037,14866.5186,127,25,0.223329,7,2,6,5,certificate
62,16,16,0,3652.3606,14381.8028,117,26,0.242748,7,2,6,5,certificate
63,16,16,0,4217.1770,16840.8850,129,26,0.236631,7,2,7,6,certificate
64,12,12,0,3467.5337,13477.6685,119,21,0.260399,7,2,7,6,certificate
65,15,15,0,3308.7325,12553.6625,121,22,0.225936,7,2,7,6,certificate
66,12,12,0,3298.4502,12582.2512,122,23,0.271686,7,2,7,6,certificate
67,11,11,0,3052.5135,11342.5677,122,23,0.284254,7,2,7,6,certificate
68,16,16,0,3453.8169,13884.0847,100,22,0.265774,7,2,4,3,certificate
69,13,13,0,2740.1558,10235.7789,105,20,0.854244,7,2,7,6,certificate
70,13,13,0,3563.5777,14027.8887,116,23,0.330525,7,2,7,6,certificate
71,13,13,0,3389.7914,13363.9570,109,22,0.297724,7,2,7,6,certificate
72,10,10,0,3243.3010,12311.5051,122,18,0.237847,7,2,7,6,certificate
73,11,11,0,3179.4456,12187.2280,115,20,0.246388,7,2,7,6,certificate
74,13,13,0,3587.2708,14046.3542,119,19,0.237840,7,2,7,6,certificate
75,15,15,0,3372.8938,12644.4691,129,26,0.248259,7,2,7,6,certificate
76,15,15,0,3609.9836,13829.9179,129,25,0.203133,7,2,7,6,certificate
77,12,12,0,3614.8268,14069.1338,124,22,0.276634,7,2,7,6,certificate
78,14,14,0,3718.3739,14256.8696,133,23,0.254492,7,2,7,6,certificate
79,12,12,0,3152.8018,11929.0091,118,19,0.234412,7,2,7,6,certificate
80,13,13,0,2877.1223,10735.6113,111,21,0.231895,7,2,7,6,certificate
81,13,13,0,3561.4629,14202.3144,110,25,0.270682,7,2,7,6,certificate
82,16,16,0,3203.7347,12148.6734,116,23,0.334952,7,2,6,5,certificate
83,11,11,0,3115.0384,11655.1919,122,21,0.275145,7,2,7,6,certificate
84,16,16,0,3516.5200,14082.5999,104,24,0.320049,7,2,6,5,certificate
85,10,10,0,3190.8124,11779.0622,131,19,0.242390,7,2,7,6,certificate
86,16,16,0,3415.4308,13452.1542,108,25,0.253685,7,2,7,6,certificate
87,13,13,0,2919.6994,10303.4972,133,23,0.332400,7,2,7,6,certificate
88,10,10,0,3595.5389,14327.6946,114,19,0.312595,7,2,7,6,certificate
89,13,13,0,3585.3631,14546.8153,102,23,0.265580,7,2,7,6,certificate
90,10,10,0,3325.5357,12772.6783,120,18,0.228595,7,2,7,6,certificate
91,16,16,0,2822.8237,10809.1184,98,23,0.912783,7,2,5,4,certificate
92,15,15,0,4230.3584,17411.7918,113,28,0.469968,7,2,7,6,certificate
93,12,12,0,2992.9705,11159.8525,117,22,0.688905,7,2,7,6,certificate
94,14,14,0,3349.4727,12712.3637,123,22,0.279579,7,3,7,6,certificate
95,15,15,0,3237.3750,11941.8748,129,25,0.304939,7,2,7,6,certificate
96,12,12,0,2995.2810,11056.4049,121,21,0.282439,7,2,7,6,certificate
97,13,13,0,3357.8153,13274.0765,107,21,0.264219,7,2,7,6,certificate
98,15,15,0,3978.8538,16269.2688,109,23,0.245000,7,2,7,6,certificate
99,13,13,0,2904.3754,10756.8770,115,22,0.285941,7,2,7,6,certificate
100,13,13,0,3221.0327,12340.1637,115,22,0.318297,7,2,7,6,certificate
101,13,13,0,3544.1222,13730.6110,123,22,0.310451,7,2,7,6,certificate
102,12,12,0,3566.5948,13357.9742,139,21,0.271315,7,2,7,6,certificate
103,15,15,0,3808.0089,15045.0444,121,24,0.317198,7,3,7,6,certificate
104,12,12,0,4350.9182,17949.5909,117,20,0.230675,7,2,7,6,certificate
105,16,16,0,3491.5474,13717.7369,112,27,0.228477,7,2,6,5,certificate
106,16,16,0,4165.2392,17011.1962,115,25,0.272989,7,2,7,6,certificate
107,15,15,0,3964.6392,15943.1962,117,23,0.258155,7,2,7,6,certificate
108,11,11,0,3240.2807,12246.4035,123,18,0.261273,7,2,7,6,certificate
109,12,12,0,3592.8524,13759.2618,131,20,0.290553,7,2,7,6,certificate
110,12,12,0,3159.7516,12023.7578,116,20,0.238906,7,2,7,6,certificate
111,12,12,0,3849.1935,15090.9676,129,23,0.323779,7,2,7,6,certificate
112,16,16,0,3498.5943,14257.9715,95,22,0.388189,7,2,5,4,certificate
113,15,15,0,3763.7315,15023.6577,115,24,0.343047,7,2,7,6,certificate
114,13,13,0,4061.4347,16597.1737,113,22,0.336669,7,2,7,6,certificate
115,11,11,0,3038.9274,11029.6368,130,23,0.356842,7,2,7,6,certificate
116,12,12,0,3848.3162,15121.5808,128,20,0.245479,7,2,7,6,certificate
117,14,14,0,4005.3517,16156.7585,118,27,0.397418,7,2,7,6,certificate
118,16,16,0,4233.2098,17656.0490,104,27,0.267423,7,2,7,5,certificate
119,12,12,0,3132.1527,11840.7634,117,19,0.204469,7,2,7,6,certificate
120,10,10,0,3043.8485,11194.2426,126,17,0.250222,7,2,7,6,certificate
121,12,12,0,3265.2962,12411.4811,121,22,0.307900,7,2,7,6,certificate
122,12,12,0,3189.3166,12001.5829,122,21,0.303601,7,2,7,6,certificate
123,11,11,0,3451.9818,13374.9089,121,22,0.300053,7,2,7,6,certificate
124,10,10,0,2935.8235,10789.1174,122,17,0.252495,7,3,7,6,certificate
