trial,n_sources,cleared,remaining,time_s,walk_m,measures,replans,wall_s,cover_visits,cover_visits_at_first_clear,stop_reason
0,11,11,0,3789.7136,15053.5681,121,21,0.682167,7,2,certificate
1,10,10,0,2872.3543,10696.7716,114,16,0.320046,7,2,certificate
2,15,15,0,3902.3520,15451.7599,122,23,0.368119,7,2,certificate
3,12,12,0,3553.6638,13683.3190,127,23,0.551856,7,2,certificate
4,14,14,0,3658.2716,13991.3579,132,28,0.591765,7,2,certificate
5,12,12,0,3640.0776,14310.3882,120,23,0.498944,7,2,certificate
6,11,11,0,3261.6125,12288.0627,125,19,0.545780,7,2,certificate
7,12,12,0,3648.4827,14337.4137,121,22,0.767821,7,2,certificate
8,13,13,0,3461.6647,13668.3237,111,22,0.294116,7,3,certificate
9,13,13,0,3955.4452,15657.2259,127,27,0.498414,7,3,certificate
10,11,11,0,3256.8055,12549.0277,116,23,0.582158,7,2,certificate
11,11,11,0,3659.6975,14383.4873,122,24,0.440877,7,2,certificate
12,12,12,0,3429.4062,13192.0308,122,24,0.725778,7,2,certificate
13,14,14,0,3371.2408,13061.2039,115,22,0.937959,7,3,certificate
14,10,10,0,3518.2972,13366.4862,133,26,0.960436,7,2,certificate
15,10,10,0,3596.7102,13988.5509,125,19,0.360501,7,2,certificate
16,13,13,0,3711.7784,14298.8921,132,26,0.560908,7,2,certificate
17,10,10,0,2881.2746,10666.3732,117,18,0.478341,7,2,certificate
18,11,11,0,2878.7624,10583.8121,118,22,0.535289,7,2,certificate
19,15,15,0,3533.3570,13496.7851,127,26,0.555828,7,3,certificate
20,11,11,0,3398.2208,12711.1042,134,23,1.096971,7,2,certificate
21,13,13,0,3999.1391,16170.6956,117,22,0.902833,7,2,certificate
22,11,11,0,3170.8086,12019.0431,119,24,0.430839,7,2,certificate
23,13,13,0,3653.7184,14093.5920,129,25,0.523484,7,2,certificate
24,15,15,0,3729.7857,14483.9284,128,28,0.555534,7,2,certificate
25,16,16,0,3766.0779,15240.3895,107,25,0.467179,7,2,certificate
26,10,10,0,3205.7330,12153.6648,121,22,0.811517,7,2,certificate
27,11,11,0,3123.5455,11752.7277,120,22,1.396411,7,2,certificate
28,12,12,0,3430.0020,12925.0098,131,23,0.680075,7,2,certificate
29,12,12,0,3021.2027,11136.0133,123,21,0.816652,7,2,certificate
30,16,16,0,3810.6871,15383.4355,110,27,0.464592,7,2,certificate
31,10,10,0,3210.7775,11803.8874,134,19,0.429029,7,2,certificate
32,16,16,0,3790.4750,14852.3751,124,23,0.363273,7,2,certificate
33,11,11,0,3503.9167,13284.5837,132,21,0.443296,7,3,certificate
34,16,16,0,3350.4148,13482.0742,97,26,0.817181,7,2,certificate
35,15,15,0,3572.0022,13930.0111,119,24,0.825524,7,2,certificate
36,10,10,0,3201.1276,11900.6379,129,20,0.381646,7,3,certificate
37,10,10,0,3435.4782,13222.3908,124,18,0.386200,7,2,certificate
38,15,15,0,3854.3321,15061.6605,129,27,0.441414,7,2,certificate
39,14,14,0,4020.4596,16342.2979,114,27,1.012162,7,2,certificate
40,16,16,0,3395.9074,13559.5371,101,29,1.765511,7,2,certificate
41,12,12,0,3950.3059,15921.5294,118,22,0.849661,7,2,certificate
42,11,11,0,3480.9323,13029.6614,137,24,0.725440,7,2,certificate
43,15,15,0,3298.3105,12551.5526,119,27,0.791498,7,2,certificate
44,13,13,0,4004.4184,16017.0918,123,26,0.458546,7,2,certificate
45,11,11,0,3648.5818,14117.9088,129,22,0.520216,7,2,certificate
46,14,14,0,3472.1861,13250.9305,126,26,0.630736,7,2,certificate
47,12,12,0,3446.9777,13109.8886,128,22,0.861860,7,2,certificate
48,15,15,0,4281.1403,17490.7014,118,27,1.303382,7,2,certificate
49,11,11,0,3432.5679,12857.8395,135,25,1.260621,7,2,certificate
50,11,11,0,3160.1506,11940.7530,120,23,1.067306,7,2,certificate
51,12,12,0,3725.4051,14597.0254,125,25,0.611869,7,2,certificate
52,16,16,0,4151.6859,17098.4297,109,27,0.903001,7,2,certificate
53,15,15,0,3723.7543,14578.7714,123,26,0.904208,7,2,certificate
54,10,10,0,3166.1785,11670.8927,131,20,0.523505,7,3,certificate
55,15,15,0,3805.7049,15603.5246,103,24,0.558392,7,2,certificate
56,14,14,0,3646.2924,14496.4620,113,26,1.535760,7,2,certificate
57,15,15,0,3773.2492,14896.2460,120,23,0.597734,7,3,certificate
58,16,16,0,3508.8636,13399.3181,126,31,0.647825,7,2,certificate
59,11,11,0,3876.9614,15114.8070,134,22,0.590477,7,2,certificate
60,13,13,0,4004.2618,15956.3088,125,21,0.616215,7,2,certificate
61,16,16,0,4027.3176,16686.5880,102,23,0.547611,7,2,certificate
62,16,16,0,3574.0373,14015.1864,116,25,0.522277,7,2,certificate
63,16,16,0,3841.3228,15336.6142,116,25,1.259912,7,2,certificate
64,12,12,0,3397.5248,13102.6239,120,23,0.751915,7,2,certificate
65,15,15,0,3520.6300,13223.1498,134,29,0.734091,7,2,certificate
