trial,n_sources,cleared,remaining,time_s,walk_m,measures,replans,wall_s,cover_visits,cover_visits_at_first_clear,stop_reason
0,11,11,0,3516.6023,13053.0115,142,23,1.475955,7,2,certificate
1,10,10,0,3084.1494,10880.7469,144,18,0.389711,7,2,certificate
2,15,15,0,4482.9606,17404.8029,156,32,0.861364,7,2,certificate
3,12,12,0,4168.5286,16147.6430,147,26,0.485787,7,3,certificate
4,14,14,0,3754.0810,13830.4050,154,29,0.808247,7,2,certificate
5,12,12,0,4099.0294,15565.1469,155,31,0.726279,7,2,certificate
6,11,11,0,3683.4654,12852.3272,177,28,0.754664,7,2,certificate
7,12,12,0,3767.5015,13917.5076,155,27,1.634301,7,2,certificate
8,13,13,0,3643.3060,13146.5301,159,32,0.849351,7,2,certificate
9,13,13,0,4374.1840,15565.9202,200,34,1.367342,7,3,certificate
10,11,11,0,3213.9652,11694.8258,137,20,0.463372,7,2,certificate
11,11,11,0,3495.5636,12787.8179,148,21,0.824836,7,2,certificate
12,12,12,0,3718.1938,13905.9689,147,28,0.854983,7,2,certificate
13,14,14,0,3469.1350,12575.6749,148,27,1.017180,7,2,certificate
14,10,10,0,3370.6668,11968.3340,155,22,0.325504,7,2,certificate
15,10,10,0,3581.9272,13464.6362,140,21,0.404550,7,2,certificate
16,13,13,0,4219.1156,16000.5781,160,33,1.712349,7,2,certificate
17,10,10,0,3176.2420,10931.2098,157,23,0.908936,7,2,certificate
18,11,11,0,3043.3359,10276.6794,156,23,0.362522,7,2,certificate
19,15,15,0,4652.0902,17815.4510,170,31,1.296630,7,2,certificate
20,11,11,0,3529.7005,13018.5026,146,27,0.546133,7,2,certificate
21,13,13,0,3821.0326,14775.1631,134,23,1.231859,7,2,certificate
22,11,11,0,2906.1811,9785.9056,150,22,0.610553,7,2,certificate
23,13,13,0,3849.7355,14468.6774,149,29,2.065397,7,2,certificate
24,15,15,0,3702.0642,13780.3208,147,32,0.397595,7,2,certificate
25,16,16,0,3938.2597,15151.2987,138,27,1.376432,7,2,certificate
26,10,10,0,3236.5194,11322.5968,154,25,0.856273,7,2,certificate
27,11,11,0,3468.8899,12164.4496,164,20,0.549411,7,2,certificate
28,12,12,0,4071.7964,15848.9821,140,23,0.583765,7,2,certificate
29,12,12,0,3346.0047,11840.0233,153,25,1.495514,7,2,certificate
30,16,16,0,4205.2126,15806.0630,161,26,0.478354,7,2,certificate
31,10,10,0,3657.8290,13824.1451,141,23,0.316491,7,2,certificate
32,16,16,0,3574.1737,13225.8684,142,30,0.644229,7,2,certificate
33,11,11,0,3654.9253,13674.6264,146,25,0.382735,7,3,certificate
34,16,16,0,3512.2619,12326.3096,161,24,1.011980,7,2,certificate
35,15,15,0,4329.8433,16009.2164,176,28,0.647684,7,3,certificate
36,10,10,0,3489.8800,12649.3998,153,24,0.385588,7,2,certificate
37,10,10,0,3604.5990,13487.9951,143,20,0.354476,7,3,certificate
38,15,15,0,3901.3533,14056.7666,170,29,0.733937,7,2,certificate
39,14,14,0,3776.2813,14556.4066,133,26,0.601993,7,2,certificate
40,16,16,0,3955.1759,14780.8795,154,32,2.173423,7,2,certificate
41,12,12,0,4134.6506,15588.2532,160,25,0.327752,7,3,certificate
42,11,11,0,3636.1381,13330.6906,153,29,0.557789,7,2,certificate
43,15,15,0,3681.5214,12942.6069,170,29,1.024571,7,2,certificate
44,13,13,0,4094.6022,15133.0112,168,29,0.474583,7,3,certificate
45,11,11,0,3953.1272,15365.6358,138,25,0.455637,7,3,certificate
46,14,14,0,3946.6773,15013.3865,146,25,1.827733,7,2,certificate
47,12,12,0,4053.6596,15608.2980,146,26,0.336933,7,3,certificate
48,15,15,0,4367.3413,16756.7065,158,34,1.474010,7,2,certificate
49,11,11,0,4046.1745,15125.8726,161,28,0.387095,7,2,certificate
50,11,11,0,3819.1753,13765.8767,169,27,0.863897,7,2,certificate
51,12,12,0,3679.0976,13035.4878,169,24,0.335573,7,2,certificate
52,16,16,0,4429.8128,17704.0638,136,28,1.904886,7,2,certificate
53,15,15,0,4009.3097,14641.5485,169,35,0.797872,7,2,certificate
54,10,10,0,3858.5889,13482.9447,186,33,0.512849,7,3,certificate
55,15,15,0,4202.5076,15097.5379,185,30,1.522955,7,2,certificate
56,14,14,0,4089.6281,15218.1404,164,35,0.717760,7,2,certificate
57,15,15,0,4243.5144,15772.5721,169,29,0.775161,7,3,certificate
58,16,16,0,4947.7195,18898.5976,182,37,1.109685,7,2,certificate
59,11,11,0,4140.3310,15746.6550,157,28,0.605321,7,3,certificate
60,13,13,0,3819.8478,14509.2392,143,27,1.421373,7,2,certificate
61,16,16,0,4302.4578,16862.2890,142,25,0.833648,7,2,certificate
62,16,16,0,4386.4333,17192.1667,146,30,1.450180,7,2,certificate
63,16,16,0,4820.7130,17793.5648,199,42,0.711896,7,2,certificate
64,12,12,0,3656.2809,13941.4047,135,22,0.307592,7,2,certificate
65,15,15,0,3694.3906,12671.9529,181,29,0.612430,7,2,certificate
66,12,12,0,4136.8610,16044.3049,145,26,0.566559,7,2,certificate
67,11,11,0,3456.9000,12609.5002,146,20,0.503783,7,2,certificate
68,16,16,0,4159.7837,15548.9186,161,29,1.412202,7,2,certificate
