trial,n_sources,cleared,remaining,time_s,walk_m,measures,replans,wall_s,cover_visits,cover_visits_at_first_clear,stop_reason
0,11,11,0,3672.8825,13669.4125,148,22,0.341639,7,3,certificate
1,10,10,0,3047.1110,10695.5551,144,18,0.342946,7,2,certificate
2,15,15,0,4009.0894,15405.4468,143,24,0.523666,7,2,certificate
3,12,12,0,3792.9151,14729.5756,132,23,0.411782,7,3,certificate
4,14,14,0,3570.7179,12988.5897,152,25,0.691632,7,2,certificate
5,12,12,0,3964.6063,15358.0316,139,26,0.719560,7,2,certificate
6,11,11,0,3595.2943,13641.4714,136,21,0.466120,7,2,certificate
7,12,12,0,3926.7219,15023.6096,144,24,0.526749,7,2,certificate
8,13,13,0,3986.4389,15422.1945,140,24,0.807385,7,2,certificate
9,13,13,0,3704.4233,14267.1165,132,25,0.625870,7,2,certificate
10,11,11,0,3188.7022,11503.5109,139,20,0.462943,7,2,certificate
11,11,11,0,3336.1591,12155.7955,142,22,1.035783,7,2,certificate
12,12,12,0,3605.4833,12907.4164,161,32,0.714900,7,2,certificate
13,14,14,0,4016.6359,15238.1796,150,26,3.417667,7,2,certificate
14,10,10,0,3226.7357,11838.6784,135,19,0.399153,7,2,certificate
15,10,10,0,3455.2444,12706.2221,145,20,0.413666,7,2,certificate
16,13,13,0,3496.5226,12777.6131,147,27,0.406138,7,2,certificate
17,10,10,0,3254.8418,11774.2089,142,20,0.487578,7,2,certificate
18,11,11,0,3079.6201,10783.1003,145,21,0.494701,7,2,certificate
19,15,15,0,3714.9555,14004.7776,140,28,0.512396,7,2,certificate
20,11,11,0,3560.7692,13168.8462,146,22,0.651689,7,2,certificate
21,13,13,0,4221.9242,16984.6209,127,23,1.663547,7,2,certificate
22,11,11,0,3221.0990,11700.4948,138,23,0.451430,7,2,certificate
23,13,13,0,3170.9604,11399.8021,138,23,0.834301,7,2,certificate
24,15,15,0,3656.6505,13608.2525,145,29,0.449780,7,2,certificate
25,16,16,0,3913.7280,14738.6401,148,27,0.930086,7,2,certificate
26,10,10,0,3276.8030,11214.0148,165,23,2.954185,7,2,certificate
27,11,11,0,3465.9128,12114.5638,165,21,1.141518,7,2,certificate
28,12,12,0,3544.9035,12784.5176,155,23,0.778150,7,2,certificate
29,12,12,0,3184.7328,11633.6642,133,22,0.833242,7,2,certificate
30,16,16,0,4003.1949,14860.9746,159,31,1.452472,7,2,certificate
31,10,10,0,3643.0749,13755.3746,142,31,0.692685,7,2,certificate
32,16,16,0,3953.9361,15154.6803,141,27,0.529217,7,3,certificate
33,11,11,0,3902.9200,13974.5998,176,26,0.565431,7,3,certificate
34,16,16,0,3697.2874,13466.4371,154,23,2.936569,7,2,certificate
35,15,15,0,3805.6750,14238.3751,148,24,0.591153,7,3,certificate
36,10,10,0,3150.2365,11831.1827,123,22,0.366515,7,2,certificate
37,10,10,0,3915.3868,14716.9339,154,20,0.406179,7,2,certificate
38,15,15,0,4095.4982,15077.4912,168,27,0.712371,7,2,certificate
39,14,14,0,3797.5947,14437.9734,140,26,0.625266,7,2,certificate
40,16,16,0,3282.2521,12146.2606,129,24,0.486013,7,2,certificate
41,12,12,0,3686.4621,13762.3104,146,21,0.795080,7,2,certificate
42,11,11,0,3780.9357,14524.6784,137,20,0.409759,7,2,certificate
43,15,15,0,3406.9972,11869.9858,160,25,1.067084,7,2,certificate
44,13,13,0,3742.0365,14380.1824,134,26,1.110738,7,2,certificate
45,11,11,0,3775.5695,14572.8476,135,23,0.487489,7,2,certificate
46,14,14,0,3650.9374,13149.6870,158,24,0.886304,7,2,certificate
47,12,12,0,3767.8790,13984.3952,152,25,0.616418,7,2,certificate
48,15,15,0,4354.9774,16899.8872,151,28,3.826380,7,2,certificate
49,11,11,0,3575.2165,12951.0824,155,24,0.447652,7,2,certificate
50,11,11,0,3744.1023,13650.5113,160,24,0.843818,7,2,certificate
51,12,12,0,3855.6718,13943.3591,168,25,2.174724,7,2,certificate
52,16,16,0,4354.0979,16970.4893,147,27,3.651829,7,2,certificate
53,15,15,0,3876.9904,14074.9521,165,26,2.795415,7,2,certificate
54,10,10,0,3597.3565,12981.7824,159,20,0.703571,7,2,certificate
55,15,15,0,3818.2679,14556.3393,139,24,2.176308,7,2,certificate
56,14,14,0,3405.4422,12182.2111,150,26,0.632563,7,2,certificate
57,15,15,0,3964.7146,14633.5732,161,29,0.603378,7,2,certificate
58,16,16,0,3420.8063,12419.0313,144,28,3.470239,7,2,certificate
59,11,11,0,3804.2848,14676.4241,137,22,0.630161,7,3,certificate
60,13,13,0,3577.9594,13309.7972,143,23,2.780938,7,2,certificate
61,16,16,0,4569.1521,18315.7603,138,25,1.572757,7,2,certificate
62,16,16,0,4384.0293,17470.1465,136,26,3.026926,7,2,certificate
63,16,16,0,4561.8761,17389.3805,172,29,0.805417,7,2,certificate
64,12,12,0,3327.0930,12370.4648,133,24,2.557168,7,2,certificate
65,15,15,0,3376.2816,11941.4079,153,24,1.102381,7,2,certificate
66,12,12,0,4281.0326,16475.1632,155,25,0.641012,7,2,certificate
