trial,seed,n_sources,n_dir,cleared,dir_cleared,remaining,is_full_cleared,time_s,walk_m,measures,replans,steps,cover_visits,stop_reason,final_mean_mass,wall_s
0,102030,11,6,11,6,,True,6047.70,22168.5,261,40,40,19,epsilon,0.00256,4.308
1,202033,10,2,10,2,,True,6029.30,21281.5,288,46,46,19,epsilon,0.00256,9.389
2,302036,15,8,15,8,,True,7216.05,26260.2,318,60,60,19,epsilon,0.00250,18.098
3,402039,12,7,12,7,,True,6640.59,23863.0,302,40,40,19,epsilon,0.00256,3.444
4,502042,14,8,14,8,,True,7203.30,26801.5,296,47,47,19,epsilon,0.00256,5.056
5,602045,12,6,12,6,,True,6902.34,23906.7,344,55,55,19,epsilon,0.00256,10.810
6,702048,11,7,11,7,,True,6713.64,23288.2,334,53,53,19,epsilon,0.00256,15.475
7,802051,12,5,12,5,,True,7865.35,30396.7,290,47,47,19,epsilon,0.00256,5.906
8,902054,13,7,13,7,,True,6765.75,24658.7,296,44,44,19,epsilon,0.00256,8.930
9,1002057,13,9,13,9,,True,6174.83,22249.2,277,41,41,19,epsilon,0.00256,4.456
10,1102060,11,3,11,3,,True,7645.79,26383.9,386,64,64,19,epsilon,0.00256,37.080
11,1202063,11,7,11,7,,True,6548.25,23726.2,294,49,49,19,epsilon,0.00256,5.515
12,1302066,12,5,12,5,,True,6409.50,22792.5,299,47,47,19,epsilon,0.00256,10.938
13,1402069,14,6,14,6,,True,7077.85,26224.2,295,52,52,19,epsilon,0.00256,8.734
14,1502072,10,7,10,7,,True,6524.19,23286.0,303,52,52,19,epsilon,0.00256,13.901
15,1602075,10,5,10,5,,True,6059.48,21647.4,281,38,38,19,epsilon,0.00256,4.227
16,1702078,13,5,13,5,,True,6370.56,23192.8,280,55,55,19,epsilon,0.00256,14.568
17,1802081,10,6,10,6,,True,7509.78,27143.9,340,63,63,19,epsilon,0.00256,27.297
18,1902084,11,6,11,6,,True,5724.68,19603.4,292,44,44,19,epsilon,0.00252,6.398
19,2002087,15,7,15,7,,True,7419.39,27407.0,312,60,60,19,epsilon,0.00256,12.854
20,2102090,11,3,11,3,,True,6888.67,24118.4,335,58,58,19,epsilon,0.00256,24.866
21,2202093,13,5,13,5,,True,6107.30,21721.5,283,50,50,19,epsilon,0.00276,13.728
22,2302096,11,7,11,7,,True,9378.68,31173.4,516,88,88,19,epsilon,0.00256,215.102
23,2402099,13,8,13,8,,True,6447.52,22622.6,311,44,44,19,epsilon,0.00256,4.645
24,2502102,15,8,15,8,,True,7275.82,25579.1,349,68,68,19,epsilon,0.00256,28.421
25,2602105,16,11,16,11,,True,6180.56,22867.8,257,54,54,17,certificate,0.00000,6.349
26,2702108,10,6,10,6,,True,6660.15,21970.7,370,54,54,19,epsilon,0.00256,10.775
27,2802111,11,6,11,6,,True,6397.38,23661.9,269,43,43,19,epsilon,0.00256,13.279
28,2902114,12,5,12,5,,True,6554.05,22705.3,326,50,50,19,epsilon,0.00256,12.057
29,3002117,12,6,12,6,,True,5797.68,20788.4,264,39,39,19,epsilon,0.00256,3.370
30,3102120,16,4,16,4,,True,5679.51,20447.6,252,45,45,18,certificate,0.00000,11.204
31,3202123,10,5,10,5,,True,6581.05,23595.2,303,44,44,19,epsilon,0.00256,5.923
32,3302126,16,10,16,10,,True,6102.05,21865.3,276,48,48,16,certificate,0.00000,7.604
33,3402129,11,8,11,8,,True,6895.70,25268.5,298,38,38,19,epsilon,0.00256,5.807
34,3502132,16,10,16,10,,True,5298.42,18327.1,259,42,42,12,certificate,0.00000,9.662
35,3602135,15,9,15,9,,True,7598.36,29511.8,272,59,59,19,epsilon,0.00256,20.848
36,3702138,10,7,10,7,,True,5988.46,21172.3,285,37,37,19,epsilon,0.00256,7.156
37,3802141,10,6,10,6,,True,10065.97,39454.8,357,63,63,19,epsilon,0.00256,14.619
38,3902144,15,9,15,9,,True,6796.64,24798.2,295,57,57,19,epsilon,0.00256,10.207
39,4002147,14,7,14,7,,True,6149.49,23312.4,237,44,44,19,epsilon,0.00256,8.902
40,4102150,16,6,16,6,,True,5103.19,19196.0,201,55,55,13,certificate,0.00000,10.187
41,4202153,12,5,12,5,,True,6194.88,22484.4,274,46,46,19,epsilon,0.00256,10.284
42,4302156,11,7,11,7,,True,5920.02,21220.1,271,39,39,19,epsilon,0.00256,5.008
43,4402159,15,9,15,9,,True,6214.69,22413.5,277,50,50,19,epsilon,0.00256,6.800
44,4502162,13,8,13,8,,True,6563.51,23392.6,306,51,51,19,epsilon,0.00256,7.759
45,4602165,11,7,11,7,,True,6198.50,21767.5,300,37,37,19,epsilon,0.00256,3.408
46,4702168,14,9,14,9,,True,6777.80,23724.0,328,54,54,19,epsilon,0.00256,11.101
47,4802171,12,2,12,2,,True,6326.21,22516.1,295,48,48,19,epsilon,0.00256,11.223
48,4902174,15,8,15,8,,True,6458.43,23457.1,285,60,60,19,epsilon,0.00256,19.424
49,5002177,11,6,11,6,,True,6364.46,23142.3,283,46,46,19,epsilon,0.00256,10.892
50,5102180,11,4,11,4,,True,7033.48,24737.4,340,56,56,19,epsilon,0.00256,25.600
51,5202183,12,8,12,8,,True,6997.69,25238.5,316,49,49,19,epsilon,0.00256,18.656
52,5302186,16,8,16,8,,True,7304.48,27042.4,305,71,71,14,certificate,0.00000,44.375
53,5402189,15,5,15,5,,True,7407.92,25769.6,364,64,64,19,epsilon,0.00256,51.992
