trial,n_sources,cleared,remaining,time_s,walk_m,measures,replans,wall_s,cover_visits,cover_visits_at_first_clear
0,11,11,0,3516.6023,13053.0115,142,23,1.451834,7,2
1,10,10,0,2931.0409,10410.2046,134,17,0.322426,6,2
2,15,15,0,4482.9606,17404.8029,156,32,0.913114,7,2
3,12,12,0,4168.5286,16147.6430,147,26,0.436675,7,3
4,14,14,0,3754.0810,13830.4050,154,29,0.876248,7,2
5,12,12,0,3902.2055,14821.0273,147,30,0.848256,6,2
6,11,11,0,3683.4654,12852.3272,177,28,0.936836,7,2
7,12,12,0,3767.5015,13917.5076,155,27,2.347834,7,2
8,13,13,0,3643.3060,13146.5301,159,32,1.281689,7,2
9,13,13,0,4374.1840,15565.9202,200,34,1.882527,7,3
10,11,11,0,3213.9652,11694.8258,137,20,0.610444,7,2
11,11,11,0,3495.5636,12787.8179,148,21,1.151194,7,2
12,12,12,0,3363.9759,12374.8795,139,27,1.256085,6,2
13,14,14,0,3469.1350,12575.6749,148,27,1.365698,7,2
14,10,10,0,3117.0232,11000.1159,145,21,0.504175,6,2
15,10,10,0,3354.0772,12625.3859,130,20,0.485790,6,2
16,13,13,0,4049.3121,15361.5603,153,32,2.440735,6,2
17,10,10,0,3176.2420,10931.2098,157,23,1.355028,7,2
18,11,11,0,2821.1464,9435.7321,147,22,0.532097,6,2
19,15,15,0,4646.0902,17815.4510,169,31,1.883704,7,2
20,11,11,0,3529.7005,13018.5026,146,27,0.853115,7,2
21,13,13,0,3821.0326,14775.1631,134,23,1.757391,7,2
22,11,11,0,2906.1811,9785.9056,150,22,0.936686,7,2
23,13,13,0,3849.7355,14468.6774,149,29,3.329655,7,2
24,15,15,0,3702.0642,13780.3208,147,32,0.669204,7,2
25,16,16,0,3938.2597,15151.2987,138,27,2.298886,7,2
26,10,10,0,2753.9779,9509.8894,134,23,1.462493,5,2
27,11,11,0,3468.8899,12164.4496,164,20,1.007512,7,2
28,12,12,0,4071.7964,15848.9821,140,23,0.893003,7,2
29,12,12,0,3346.0047,11840.0233,153,25,2.404333,7,2
30,16,16,0,4205.2126,15806.0630,161,26,0.785813,7,2
31,10,10,0,3657.8290,13824.1451,141,23,0.574425,7,2
32,16,16,0,3574.1737,13225.8684,142,30,1.129856,7,2
33,11,11,0,3535.3098,13341.5491,137,24,0.659698,6,3
34,16,16,0,3512.2619,12326.3096,161,24,1.707606,7,2
35,15,15,0,4329.8433,16009.2164,176,28,1.218595,7,3
36,10,10,0,3281.2725,11906.3626,143,23,0.638409,6,2
37,10,10,0,3604.5990,13487.9951,143,20,0.626497,7,3
38,15,15,0,3901.3533,14056.7666,170,29,1.352082,7,2
39,14,14,0,3557.1558,13640.7791,127,25,1.067269,6,2
40,16,16,0,3955.1759,14780.8795,154,32,4.170592,7,2
41,12,12,0,4134.6506,15588.2532,160,25,0.777107,7,3
42,11,11,0,3441.8349,12629.1743,144,28,1.174154,6,2
43,15,15,0,3535.4925,12362.4624,165,28,2.491609,6,2
44,13,13,0,4094.6022,15133.0112,168,29,0.936616,7,3
45,11,11,0,3953.1272,15365.6358,138,25,0.819732,7,3
46,14,14,0,3946.6773,15013.3865,146,25,4.177066,7,2
47,12,12,0,4059.6596,15608.2980,147,26,0.755818,7,3
48,15,15,0,4367.3413,16756.7065,158,34,3.333015,7,2
49,11,11,0,3768.5564,14007.7818,152,26,0.826231,7,2
50,11,11,0,3819.1753,13765.8767,169,27,2.000954,7,2
51,12,12,0,3679.0976,13035.4878,169,24,1.001779,7,2
52,16,16,0,4429.8128,17704.0638,136,28,4.339090,7,2
53,15,15,0,4009.3097,14641.5485,169,35,1.791275,7,2
54,10,10,0,3858.5889,13482.9447,186,33,1.470648,7,3
55,15,15,0,4088.6578,14673.2888,180,29,3.616586,6,2
56,14,14,0,4089.6281,15218.1404,164,35,1.617745,7,2
57,15,15,0,4243.5144,15772.5721,169,29,2.036531,7,3
58,16,16,0,4947.7195,18898.5976,182,37,3.395650,7,2
59,11,11,0,4140.3310,15746.6550,157,28,1.270708,7,3
60,13,13,0,3819.8478,14509.2392,143,27,3.259073,7,2
61,16,16,0,4296.4578,16862.2890,141,25,1.857738,7,2
62,16,16,0,4386.4333,17192.1667,146,30,3.512098,7,2
63,16,16,0,4820.7130,17793.5648,199,42,1.913853,7,2
64,12,12,0,3656.2809,13941.4047,135,22,1.081946,7,2
65,15,15,0,3694.3906,12671.9529,181,29,1.505266,7,2
66,12,12,0,4136.8610,16044.3049,145,26,1.406620,7,2
67,11,11,0,3115.4045,11172.0225,137,19,1.110939,6,2
68,16,16,0,4159.7837,15548.9186,161,29,3.167343,7,2
69,13,13,0,2926.8644,10029.3220,143,22,1.329177,6,2
70,13,13,0,3580.8029,12279.0143,177,24,1.056138,7,2
71,13,13,0,3908.9705,14074.8524,173,31,1.348086,7,2
72,10,10,0,3702.3168,14086.5842,140,30,0.568058,7,2
73,11,11,0,3279.2369,12051.1845,136,22,0.537896,6,2
74,13,13,0,3934.1702,14255.8510,170,23,0.417005,7,2
75,15,15,0,4560.2944,17086.4719,178,29,0.460772,7,2
76,15,15,0,5265.6491,18168.2454,276,35,0.973417,7,2
77,12,12,0,3786.2256,13966.1280,156,27,0.963437,7,2
78,14,14,0,3949.4604,14867.3021,152,29,0.695395,7,2
79,12,12,0,3721.8334,13909.1668,147,22,1.593672,7,2
80,13,13,0,3524.5719,13002.8595,144,22,0.610120,7,2
81,13,13,0,3795.1574,14200.7871,149,27,0.506828,7,2
82,16,16,0,3649.4682,13537.3408,145,32,1.178888,7,2
83,11,11,0,3305.5132,11727.5660,151,24,0.626315,7,2
84,16,16,0,4090.8108,15444.0539,154,30,1.173428,7,2
85,10,10,0,4093.0915,15600.4573,155,34,1.114307,7,2
86,16,16,0,3952.6649,14378.3244,166,32,2.851134,7,2
87,13,13,0,3201.2921,11426.4603,142,24,1.519468,6,2
88,10,10,0,3861.3425,14756.7127,145,24,0.507234,7,2
89,13,13,0,4139.6687,15563.3436,161,31,1.037485,7,2
90,10,10,0,3065.2926,10851.4632,141,24,0.605918,5,2
91,16,16,0,3487.6178,11893.0889,172,30,2.466530,7,2
92,15,15,0,3683.4068,13052.0339,167,28,0.624796,7,2
93,12,12,0,3479.0722,12375.3611,158,25,0.613533,7,2
94,14,14,0,4131.9152,15514.5762,161,32,1.878455,7,2
95,15,15,0,4329.4427,15857.2133,181,28,1.562394,7,3
96,12,12,0,2967.5529,10692.7645,129,21,1.099430,6,3
97,13,13,0,3816.3811,14096.9056,157,27,0.878955,7,2
98,15,15,0,4420.9627,16699.8134,168,32,1.788450,7,2
99,13,13,0,3188.0079,11370.0394,142,25,0.914759,7,2
100,13,13,0,3636.8691,13764.3454,137,28,2.052773,7,2
101,13,13,0,3835.6034,14613.0172,141,27,1.860239,7,2
102,12,12,0,3558.9457,13454.7286,135,24,0.801134,7,2
103,15,15,0,4055.2160,15481.0801,148,30,1.491997,7,2
104,12,12,0,4195.3748,16051.8738,155,32,0.946167,7,2
105,16,16,0,3872.5218,15127.6090,129,30,0.501069,7,2
106,16,16,0,4309.8969,17024.4844,141,35,2.726896,7,2
107,15,15,0,4018.2681,14941.3406,160,38,1.869223,7,2
108,11,11,0,3206.7075,11978.5374,127,27,1.056646,6,2
109,12,12,0,3957.3707,15256.8533,143,24,1.460999,7,2
110,12,12,0,3503.5467,12652.7337,152,29,1.534349,7,2
111,12,12,0,3819.2485,14436.2427,146,30,0.688044,7,2
112,16,16,0,3881.6729,13893.3647,171,28,2.200279,7,2
113,15,15,0,4197.5026,15577.5132,168,30,0.890375,7,2
114,13,13,0,4024.2358,15391.1790,147,27,1.035410,7,2
115,11,11,0,3273.4078,11317.0392,160,31,1.075470,7,2
116,12,12,0,4273.9701,16344.8504,158,30,2.039582,7,3
117,14,14,0,4203.2690,15996.3448,156,27,0.832029,7,4
118,16,16,0,4132.0147,15740.0735,151,29,0.733830,7,2
119,12,12,0,3217.3318,11206.6592,153,20,1.086927,7,2
120,10,10,0,2993.2718,10351.3591,146,20,0.950581,7,2
121,12,12,0,3408.6834,12963.4172,127,26,1.063661,6,2
122,12,12,0,3802.1276,14360.6379,145,26,1.598895,6,2
123,11,11,0,3431.8708,12659.3538,141,22,1.139946,7,2
124,10,10,0,3979.5709,15802.8546,129,27,1.068285,6,2
125,10,10,0,3365.5421,12182.7106,147,24,1.612590,7,2
126,10,10,0,3054.5870,11192.9350,128,20,0.701001,6,2
127,15,15,0,3897.5013,14612.5066,150,33,3.248763,7,2
128,11,11,0,4344.4405,17177.2023,143,26,1.400684,7,2
129,16,16,0,4911.3327,19136.6635,169,28,1.110848,7,3
130,16,16,0,4363.0199,16780.0996,155,31,1.365195,7,2
131,10,10,0,3737.3937,13986.9684,149,24,1.048942,7,2
132,16,16,0,4355.1645,16570.8227,161,31,3.054080,7,3
133,11,11,0,3412.5545,12672.7724,138,26,1.401564,5,2
134,13,13,0,3820.5871,14012.9353,160,27,1.712926,7,2
135,13,13,0,4537.4076,16282.0379,203,41,2.230091,7,3
