trial,n_sources,n_dir,cleared,dir_cleared,remaining,time_s,walk_m,measures,replans,steps,cover_visits,stop_reason,final_mean_mass,station_silent,probe_silent,wall_s,left
0,11,9,11,9,0,6539.11,23440.5,301,47,47,19,epsilon,0.00253,0,0,17.355,
1,10,5,10,5,0,6384.60,22348.0,312,45,45,19,epsilon,0.00253,0,0,13.489,
2,15,9,15,9,0,7290.16,25175.8,364,67,67,19,epsilon,0.00251,0,0,40.882,
3,12,7,12,7,0,6377.37,23231.9,279,44,44,19,epsilon,0.00253,0,0,10.189,
4,14,7,14,7,0,6652.60,24358.0,286,46,46,19,epsilon,0.00251,2,0,14.559,
5,12,4,12,4,0,6433.84,23429.2,282,46,46,19,epsilon,0.00249,0,0,15.790,
6,11,5,11,5,0,6924.22,24611.1,326,50,50,19,epsilon,0.00253,0,0,15.984,
7,12,3,12,3,0,6297.29,22941.4,276,53,53,19,epsilon,0.00256,0,0,22.659,
8,13,10,13,10,0,6637.25,24271.2,287,58,58,19,epsilon,0.00243,1,0,16.312,
9,13,6,13,6,0,6395.73,22603.6,302,47,47,19,epsilon,0.00256,0,0,16.350,
10,11,8,11,8,0,6821.35,23236.8,354,55,55,19,epsilon,0.00251,1,0,23.655,
11,11,4,11,4,0,6803.22,23781.1,333,53,53,19,epsilon,0.00254,0,0,16.125,
12,12,5,12,5,0,6427.61,23533.1,278,43,43,19,epsilon,0.00246,0,0,9.937,
13,14,7,14,7,0,6443.77,24233.8,256,51,51,19,epsilon,0.00250,0,0,26.431,
14,10,7,10,7,0,5546.30,19491.5,267,34,34,19,epsilon,0.00254,0,1,12.255,
15,10,6,10,6,0,6558.43,22977.2,319,47,47,19,epsilon,0.00256,0,0,13.407,
16,13,5,13,5,0,6189.01,22325.0,278,48,48,19,epsilon,0.00256,0,0,14.631,
17,10,6,10,6,0,7088.79,25103.9,337,47,47,19,epsilon,0.00256,0,0,16.367,
18,11,6,11,6,0,6061.75,21153.7,297,40,40,19,epsilon,0.00252,0,0,11.465,
19,15,7,15,7,0,6986.80,24939.0,321,55,55,19,epsilon,0.00245,1,0,20.818,
20,11,5,11,5,0,8298.02,29785.1,385,80,80,19,epsilon,0.00243,0,0,102.321,
21,13,6,13,6,0,6203.32,21961.6,292,44,44,19,epsilon,0.00252,0,0,18.613,
22,11,7,11,7,0,6277.52,22312.6,294,42,42,19,epsilon,0.00253,0,0,16.853,
23,13,5,13,5,0,7189.59,26438.0,308,64,64,19,epsilon,0.00252,0,0,39.817,
24,15,6,15,6,0,7130.84,26239.2,303,64,64,19,epsilon,0.00256,0,0,64.331,
25,16,11,16,11,0,7605.26,26101.3,386,79,79,14,certificate,0.00000,0,0,102.488,
26,10,6,10,6,0,6493.40,22487.0,325,39,39,19,epsilon,0.00256,0,0,7.684,
27,11,4,11,4,0,5711.34,20256.7,267,32,32,19,epsilon,0.00256,0,0,5.545,
28,12,7,12,7,0,6565.28,23681.4,296,50,50,19,epsilon,0.00256,0,0,14.332,
29,12,5,12,5,0,6256.88,22249.4,293,48,48,19,epsilon,0.00250,0,0,25.944,
30,16,4,16,4,0,7216.98,26794.9,299,72,72,18,certificate,0.00000,0,0,43.692,
31,10,2,10,2,0,6413.78,22413.9,316,50,50,19,epsilon,0.00256,0,0,26.032,
32,16,11,16,11,0,6926.69,25128.5,304,51,51,18,certificate,0.00000,0,0,17.410,
33,11,8,11,8,0,6546.65,23663.2,294,39,39,19,epsilon,0.00256,1,0,6.629,
34,16,8,16,8,0,7183.55,24987.8,353,71,71,14,certificate,0.00000,0,0,47.993,
35,15,9,15,9,0,7916.81,28089.1,373,71,71,19,epsilon,0.00253,0,0,38.635,
36,10,6,10,6,0,7198.86,25944.3,329,57,57,19,epsilon,0.00251,1,0,15.654,
37,10,4,10,4,0,6324.32,21831.6,319,51,51,19,epsilon,0.00253,0,0,33.811,
38,15,9,15,9,0,6358.15,22790.7,289,49,49,19,epsilon,0.00250,2,0,12.040,
39,14,9,14,9,0,6629.20,22796.0,336,61,61,19,epsilon,0.00243,0,0,34.833,
40,16,9,16,9,0,6098.04,21910.2,275,62,62,14,certificate,0.00000,0,0,41.681,
41,12,4,12,4,0,7190.01,24885.1,359,62,62,19,epsilon,0.00248,0,0,38.136,
42,11,6,11,6,0,5862.57,20307.8,292,42,42,19,epsilon,0.00250,0,0,14.958,
43,15,9,15,9,0,6150.50,23077.5,245,42,42,19,epsilon,0.00256,1,0,28.485,
44,13,8,13,8,0,6438.18,24020.9,264,58,58,19,epsilon,0.00247,0,0,19.372,
45,11,6,11,6,0,6220.21,21931.1,297,42,42,19,epsilon,0.00252,0,0,10.329,
46,14,6,14,6,0,6189.51,21997.5,287,44,44,19,epsilon,0.00253,0,0,9.241,
47,12,6,12,6,0,7229.09,25990.4,332,63,63,19,epsilon,0.00256,1,0,23.936,
48,15,6,15,6,0,7153.36,25826.8,319,63,63,19,epsilon,0.00250,0,0,61.249,
49,11,6,11,6,0,6722.01,24230.0,305,53,53,19,epsilon,0.00256,0,0,11.558,
50,11,10,11,10,0,6592.59,23868.0,295,44,44,19,epsilon,0.00256,0,0,9.668,
51,12,10,12,10,0,7043.02,25125.1,327,56,56,19,epsilon,0.00246,0,0,16.560,
52,16,8,16,8,0,6227.07,23110.3,256,51,51,16,certificate,0.00000,0,0,12.310,
53,15,5,15,5,0,7976.94,29684.7,330,79,79,19,epsilon,0.00250,3,0,76.721,
54,10,4,10,4,0,5818.97,19674.8,306,37,37,19,epsilon,0.00256,1,0,7.939,
55,15,9,15,9,0,6433.53,23372.6,281,47,47,19,epsilon,0.00256,0,0,16.900,
56,14,7,14,7,0,7835.18,28395.9,349,68,68,19,epsilon,0.00256,0,0,47.846,
57,15,10,15,10,0,6390.88,23154.4,282,48,48,19,epsilon,0.00251,0,0,17.552,
58,16,4,16,4,0,6580.72,24073.6,285,61,61,14,certificate,0.00000,2,0,45.903,
59,11,5,11,5,0,6922.56,24892.8,316,45,45,19,epsilon,0.00256,1,0,18.121,
60,13,6,13,6,0,5768.99,20074.9,282,43,43,19,epsilon,0.00250,0,0,10.805,
61,16,11,16,11,0,6576.60,24583.0,265,50,50,18,certificate,0.00000,0,0,9.868,
62,16,13,16,13,0,7046.85,26694.2,274,58,58,16,certificate,0.00000,2,0,20.666,
63,16,5,16,5,0,6503.35,22581.7,320,66,66,13,certificate,0.00000,0,0,71.866,
64,12,8,12,8,0,6733.87,23694.4,323,47,47,19,epsilon,0.00256,2,0,17.977,
65,15,10,15,10,0,6280.66,22593.3,282,48,48,19,epsilon,0.00256,0,0,9.756,
66,12,8,12,8,0,7314.51,25272.5,367,64,64,19,epsilon,0.00253,1,0,36.634,
67,11,6,11,6,0,6007.01,21680.0,270,39,39,19,epsilon,0.00250,0,0,9.444,
68,16,7,16,7,0,4933.93,17219.6,236,50,50,9,certificate,0.00000,1,0,33.873,
69,13,4,13,4,0,6321.56,23782.8,251,46,46,19,epsilon,0.00255,0,0,13.529,
70,13,4,13,4,0,5908.54,20642.7,287,35,35,19,epsilon,0.00256,0,0,8.536,
